epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,247.531,0.96275,2.74047,1.04889,0.56111,0.38282,0.41974,0.31764,0.79171,3.20407,0.95235,0.00017342,0.00017342,0.00017342
2,485.221,0.82755,1.33436,0.95415,0.60933,0.48801,0.48576,0.35625,0.83649,1.55749,0.92674,0.000346511,0.000346511,0.000346511
3,722.112,0.7697,1.06439,0.92531,0.62675,0.4791,0.51457,0.38769,0.76574,1.12985,0.93437,0.000512469,0.000512469,0.000512469
4,958.583,0.76509,0.93863,0.92701,0.59564,0.42994,0.43834,0.32419,0.7889,1.39457,0.95823,0.00062738,0.00062738,0.00062738
5,1193.84,0.74305,0.83965,0.91187,0.59,0.54726,0.56309,0.42018,0.76142,1.10321,0.93303,0.000614174,0.000614174,0.000614174
6,1429.06,0.73617,0.8015,0.91363,0.59524,0.65307,0.57928,0.43545,0.78006,0.99002,0.94049,0.000600967,0.000600967,0.000600967
7,1665.54,0.70182,0.72441,0.89972,0.7889,0.61007,0.61778,0.46478,0.76271,0.90981,0.9415,0.00058776,0.00058776,0.00058776
8,1902.79,0.67972,0.6778,0.89603,0.72587,0.65484,0.62306,0.47034,0.7423,0.86614,0.92913,0.000574554,0.000574554,0.000574554
9,2139.54,0.65404,0.64569,0.88959,0.76065,0.57448,0.64045,0.50159,0.74142,0.82235,0.94324,0.000561347,0.000561347,0.000561347
10,2391.58,0.64828,0.63235,0.88024,0.70354,0.52447,0.57378,0.44908,0.71907,0.82854,0.919,0.000548141,0.000548141,0.000548141
11,2639.32,0.64851,0.60845,0.88386,0.6302,0.63907,0.59267,0.45014,0.74516,0.83913,0.93043,0.000534934,0.000534934,0.000534934
12,2886.53,0.62099,0.57203,0.87981,0.6501,0.64982,0.62562,0.46525,0.73759,0.85992,0.93303,0.000521727,0.000521727,0.000521727
13,3142.98,0.61281,0.54914,0.87017,0.6959,0.59956,0.62558,0.47478,0.74199,0.82572,0.93776,0.000508521,0.000508521,0.000508521
14,3402.32,0.614,0.5582,0.86756,0.59257,0.68553,0.60816,0.45834,0.71215,0.7843,0.92392,0.000495314,0.000495314,0.000495314
15,3647.21,0.60931,0.53772,0.86822,0.66557,0.66748,0.63551,0.47442,0.73556,0.78643,0.95568,0.000482108,0.000482108,0.000482108
16,3891.32,0.57769,0.49716,0.85288,0.67305,0.59452,0.61734,0.49009,0.69126,0.88184,0.9216,0.000468901,0.000468901,0.000468901
17,4130.48,0.57158,0.4881,0.86178,0.64003,0.67643,0.6073,0.46776,0.71547,0.80027,0.93166,0.000455694,0.000455694,0.000455694
18,4367.48,0.56121,0.4735,0.85665,0.66724,0.6575,0.64184,0.49683,0.68497,0.75416,0.90278,0.000442488,0.000442488,0.000442488
19,4604.21,0.55547,0.4632,0.86059,0.71646,0.62628,0.66644,0.53465,0.68268,0.74924,0.912,0.000429281,0.000429281,0.000429281
20,4842.05,0.55112,0.45834,0.85293,0.66605,0.68653,0.67133,0.52032,0.7165,0.74152,0.93644,0.000416075,0.000416075,0.000416075
21,5081,0.55224,0.44467,0.85311,0.67236,0.67507,0.63568,0.48388,0.71066,0.7961,0.9447,0.000402868,0.000402868,0.000402868
22,5317.66,0.53607,0.43408,0.8516,0.72397,0.65557,0.64731,0.51022,0.7155,0.76785,0.94463,0.000389661,0.000389661,0.000389661
23,5554.41,0.53298,0.42411,0.85074,0.76462,0.65772,0.67324,0.52356,0.73625,0.75011,0.93662,0.000376455,0.000376455,0.000376455
24,5792.64,0.53278,0.42629,0.85511,0.76509,0.62976,0.67117,0.50736,0.72597,0.76845,0.93144,0.000363248,0.000363248,0.000363248
25,6030.58,0.5096,0.40761,0.84158,0.70263,0.6353,0.6622,0.51139,0.70753,0.7788,0.94344,0.000350042,0.000350042,0.000350042
26,6267.29,0.49546,0.39534,0.83629,0.75565,0.67107,0.71363,0.56685,0.67218,0.67389,0.91791,0.000336835,0.000336835,0.000336835
27,6504.44,0.50594,0.40832,0.83833,0.78118,0.6366,0.66564,0.52251,0.69634,0.69688,0.91477,0.000323628,0.000323628,0.000323628
28,6754.97,0.49805,0.39375,0.83674,0.70741,0.63836,0.6712,0.52036,0.67194,0.77609,0.90465,0.000310422,0.000310422,0.000310422
29,7010.43,0.50711,0.3894,0.84456,0.7044,0.60099,0.66218,0.52179,0.69767,0.77759,0.91942,0.000297215,0.000297215,0.000297215
30,7270.13,0.486,0.37659,0.84539,0.782,0.61494,0.67939,0.5388,0.67709,0.70699,0.92639,0.000284009,0.000284009,0.000284009
31,7524,0.47918,0.36937,0.83608,0.7623,0.59661,0.68382,0.54954,0.69225,0.72524,0.93442,0.000270802,0.000270802,0.000270802
32,7776.72,0.48109,0.36584,0.83394,0.72845,0.69294,0.67643,0.53525,0.67246,0.67754,0.90318,0.000257595,0.000257595,0.000257595
33,8029.3,0.46948,0.35387,0.8315,0.7441,0.65515,0.66299,0.52716,0.65624,0.69093,0.90256,0.000244389,0.000244389,0.000244389
34,8281.22,0.45863,0.36103,0.83513,0.76475,0.68037,0.67924,0.54697,0.64742,0.67718,0.89858,0.000231182,0.000231182,0.000231182
35,8529.58,0.4535,0.34066,0.83104,0.7243,0.6598,0.68251,0.55698,0.63479,0.68324,0.89682,0.000217976,0.000217976,0.000217976
36,8770.15,0.4419,0.33896,0.83132,0.70091,0.68125,0.66508,0.54272,0.63851,0.69223,0.89571,0.000204769,0.000204769,0.000204769
37,9023.71,0.43967,0.33719,0.82368,0.72038,0.65034,0.64735,0.5222,0.64446,0.69812,0.90337,0.000191562,0.000191562,0.000191562
38,9289.14,0.41775,0.32872,0.82835,0.73364,0.66089,0.64376,0.52932,0.63502,0.71469,0.90108,0.000178356,0.000178356,0.000178356
39,9549.59,0.43682,0.33193,0.82643,0.74149,0.58699,0.62638,0.5085,0.63796,0.67813,0.917,0.000165149,0.000165149,0.000165149
40,9807.41,0.43614,0.32203,0.82563,0.74378,0.63784,0.637,0.51381,0.64123,0.69344,0.92114,0.000151943,0.000151943,0.000151943
41,10059.9,0.40155,0.30429,0.79954,0.77034,0.64887,0.66811,0.54236,0.63958,0.69579,0.91261,0.000138736,0.000138736,0.000138736
42,10300.9,0.37773,0.28092,0.7994,0.7517,0.64753,0.67043,0.54757,0.63437,0.72665,0.9139,0.000125529,0.000125529,0.000125529
43,10541.4,0.38021,0.27302,0.79448,0.76806,0.65832,0.69599,0.56436,0.64575,0.72969,0.9224,0.000112323,0.000112323,0.000112323
44,10781.3,0.38339,0.26843,0.80322,0.7609,0.64138,0.7021,0.57282,0.643,0.70893,0.91309,9.91162e-05,9.91162e-05,9.91162e-05
45,11022.2,0.36386,0.26766,0.79831,0.76395,0.63852,0.67402,0.54269,0.6477,0.71496,0.9125,8.59096e-05,8.59096e-05,8.59096e-05
46,11262.3,0.3611,0.26036,0.79197,0.73618,0.68943,0.66895,0.54248,0.62787,0.7113,0.89578,7.2703e-05,7.2703e-05,7.2703e-05
47,11502.1,0.35282,0.25284,0.79002,0.70543,0.64401,0.66314,0.53332,0.62727,0.70651,0.90051,5.94964e-05,5.94964e-05,5.94964e-05
48,11743.1,0.35306,0.25381,0.79395,0.70827,0.63693,0.64096,0.51887,0.6123,0.6876,0.89658,4.62898e-05,4.62898e-05,4.62898e-05
